chrom	start	end	strand	trid	geneid
chr1	117622842	117628372	+	stmg_plus_chr1.27.1	stmg_plus_chr1.27
chr1	120436353	120436697	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120438544	120438646	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120439476	120439690	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120440742	120440814	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120441278	120441489	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120442841	120443050	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120444897	120444999	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120445829	120446043	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120447094	120447166	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120447630	120447841	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120449193	120449402	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120451180	120451282	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120452117	120452331	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120453372	120453444	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120453909	120454114	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120455409	120455460	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120459367	120459530	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120460573	120460624	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120461254	120461426	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120462146	120462197	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120462794	120462966	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120463676	120463727	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120464376	120464548	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120465263	120465371	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120465978	120467739	+	stmg_plus_chr1.28.1	stmg_plus_chr1.28
chr1	120723923	120724250	+	stmg_plus_chr1.29.1	stmg_plus_chr1.29
chr1	120763628	120763709	+	stmg_plus_chr1.29.1	stmg_plus_chr1.29
chr1	120784974	120785233	+	stmg_plus_chr1.29.1	stmg_plus_chr1.29
chr1	120793161	120793496	+	stmg_plus_chr1.29.1	stmg_plus_chr1.29
chr1	120793747	120793877	+	stmg_plus_chr1.29.1	stmg_plus_chr1.29
chr1	143975087	143975153	+	stmg_plus_chr1.30.1	stmg_plus_chr1.30
chr1	144045747	144045809	+	stmg_plus_chr1.30.1	stmg_plus_chr1.30
chr1	144054438	144054653	+	stmg_plus_chr1.30.1	stmg_plus_chr1.30
chr1	144055293	144055421	+	stmg_plus_chr1.30.1	stmg_plus_chr1.30
chr1	144063173	144063394	+	stmg_plus_chr1.30.1	stmg_plus_chr1.30
chr1	144067001	144067102	+	stmg_plus_chr1.30.1	stmg_plus_chr1.30
chr1	144068129	144068350	+	stmg_plus_chr1.30.1	stmg_plus_chr1.30
chr1	145096000	145096999	+	stmg_plus_chr1.31.1	stmg_plus_chr1.31
chr1	145098988	145099065	+	stmg_plus_chr1.31.1	stmg_plus_chr1.31
chr1	145103007	145103131	+	stmg_plus_chr1.31.1	stmg_plus_chr1.31
chr1	145111503	145112696	+	stmg_plus_chr1.31.1	stmg_plus_chr1.31
chr1	145507472	145507599	+	stmg_plus_chr1.32.1	stmg_plus_chr1.32
chr1	145508494	145508607	+	stmg_plus_chr1.32.1	stmg_plus_chr1.32
chr1	149048578	149048990	+	stmg_plus_chr1.33.1	stmg_plus_chr1.33
chr1	149050820	149051273	+	stmg_plus_chr1.33.1	stmg_plus_chr1.33
chr1	149345661	149345770	+	stmg_plus_chr1.34.1	stmg_plus_chr1.34
chr1	149351251	149351411	+	stmg_plus_chr1.34.1	stmg_plus_chr1.34
chr1	149354096	149354242	+	stmg_plus_chr1.34.1	stmg_plus_chr1.34
chr1	149357458	149357612	+	stmg_plus_chr1.34.1	stmg_plus_chr1.34
chr1	150515760	150516062	+	stmg_plus_chr1.35.1	stmg_plus_chr1.35
chr1	150517773	150518025	+	stmg_plus_chr1.35.1	stmg_plus_chr1.35
chr1	152908545	152908589	+	stmg_plus_chr1.36.1	stmg_plus_chr1.36
chr1	152909779	152911886	+	stmg_plus_chr1.36.1	stmg_plus_chr1.36
chr1	153031212	153031247	+	stmg_plus_chr1.37.1	stmg_plus_chr1.37
chr1	153032327	153032900	+	stmg_plus_chr1.37.1	stmg_plus_chr1.37
chr1	153217590	153217619	+	stmg_plus_chr1.38.1	stmg_plus_chr1.38
chr1	153218125	153219270	+	stmg_plus_chr1.38.1	stmg_plus_chr1.38
chr1	153357865	153357881	+	stmg_plus_chr1.39.1	stmg_plus_chr1.39
chr1	153358269	153358433	+	stmg_plus_chr1.39.1	stmg_plus_chr1.39
chr1	153360644	153361024	+	stmg_plus_chr1.39.1	stmg_plus_chr1.39
chr1	155859509	155859795	+	stmg_plus_chr1.40.1	stmg_plus_chr1.40
chr1	155867965	155868791	+	stmg_plus_chr1.40.1	stmg_plus_chr1.40
chr1	155880500	155880623	+	stmg_plus_chr1.40.1	stmg_plus_chr1.40
chr1	155881198	155885199	+	stmg_plus_chr1.40.1	stmg_plus_chr1.40
chr1	157280717	157280853	+	stmg_plus_chr1.41.1	stmg_plus_chr1.41
chr1	157282578	157283066	+	stmg_plus_chr1.41.1	stmg_plus_chr1.41
chr1	160367067	160367337	+	stmg_plus_chr1.42.1	stmg_plus_chr1.42
chr1	160370557	160372848	+	stmg_plus_chr1.42.1	stmg_plus_chr1.42
chr1	161258727	161258983	+	stmg_plus_chr1.43.1	stmg_plus_chr1.43
chr1	161283668	161283722	+	stmg_plus_chr1.43.1	stmg_plus_chr1.43
chr1	161284339	161285450	+	stmg_plus_chr1.43.1	stmg_plus_chr1.43
chr1	162445833	162445881	+	stmg_plus_chr1.44.1	stmg_plus_chr1.44
chr1	162446298	162446531	+	stmg_plus_chr1.44.1	stmg_plus_chr1.44
chr1	180558977	180559055	+	stmg_plus_chr1.45.1	stmg_plus_chr1.45
chr1	180562204	180562344	+	stmg_plus_chr1.45.1	stmg_plus_chr1.45
chr1	180565251	180566387	+	stmg_plus_chr1.45.1	stmg_plus_chr1.45
chr1	185001533	185001627	+	stmg_plus_chr1.46.1	stmg_plus_chr1.46
chr1	185007694	185008683	+	stmg_plus_chr1.46.1	stmg_plus_chr1.46
chr1	187359913	187360187	+	stmg_plus_chr1.47.1	stmg_plus_chr1.47
chr1	213492422	213492575	+	stmg_plus_chr1.48.1	stmg_plus_chr1.48
chr1	213546283	213546360	+	stmg_plus_chr1.48.1	stmg_plus_chr1.48
chr1	223144167	223144243	+	stmg_plus_chr1.49.1	stmg_plus_chr1.49
chr1	223144537	223144953	+	stmg_plus_chr1.49.1	stmg_plus_chr1.49
chr1	228149958	228150007	+	stmg_plus_chr1.50.1	stmg_plus_chr1.50
chr1	228157740	228159826	+	stmg_plus_chr1.50.1	stmg_plus_chr1.50
chr1	229514015	229514262	+	stmg_plus_chr1.51.1	stmg_plus_chr1.51
chr1	230874847	230875155	+	stmg_plus_chr1.52.1	stmg_plus_chr1.52
chr1	230875306	230875565	+	stmg_plus_chr1.52.1	stmg_plus_chr1.52
chr1	230878792	230878972	+	stmg_plus_chr1.52.1	stmg_plus_chr1.52
chr1	234629311	234629747	+	stmg_plus_chr1.53.1	stmg_plus_chr1.53
chr1	234632948	234634780	+	stmg_plus_chr1.53.1	stmg_plus_chr1.53
chr1	246690048	246690214	+	stmg_plus_chr1.54.1	stmg_plus_chr1.54
chr1	246691468	246691801	+	stmg_plus_chr1.54.1	stmg_plus_chr1.54
chr1	247857199	247857666	+	stmg_plus_chr1.55.1	stmg_plus_chr1.55
chr1	247860617	247860712	+	stmg_plus_chr1.55.1	stmg_plus_chr1.55
chr1	247864705	247864935	+	stmg_plus_chr1.55.1	stmg_plus_chr1.55
chr1	247867845	247867867	+	stmg_plus_chr1.55.1	stmg_plus_chr1.55
chr1	247867963	247868063	+	stmg_plus_chr1.55.1	stmg_plus_chr1.55
chr1	247875900	247878205	+	stmg_plus_chr1.55.1	stmg_plus_chr1.55
chr1	139790	139847	-	stmg_minus_chr1.1.1	stmg_minus_chr1.1
chr1	140075	140339	-	stmg_minus_chr1.1.1	stmg_minus_chr1.1
chr1	1070966	1072575	-	stmg_minus_chr1.2.1	stmg_minus_chr1.2
chr1	1074016	1074297	-	stmg_minus_chr1.2.1	stmg_minus_chr1.2
chr1	3623194	3623556	-	stmg_minus_chr1.3.1	stmg_minus_chr1.3
chr1	3624308	3624450	-	stmg_minus_chr1.3.1	stmg_minus_chr1.3
chr1	3624632	3624722	-	stmg_minus_chr1.3.1	stmg_minus_chr1.3
chr1	6247348	6250003	-	stmg_minus_chr1.4.1	stmg_minus_chr1.4
chr1	6250440	6250624	-	stmg_minus_chr1.4.1	stmg_minus_chr1.4
chr1	6251338	6251530	-	stmg_minus_chr1.4.1	stmg_minus_chr1.4
chr1	6253718	6254147	-	stmg_minus_chr1.4.1	stmg_minus_chr1.4
chr1	6254550	6255014	-	stmg_minus_chr1.4.1	stmg_minus_chr1.4
chr1	6260825	6260939	-	stmg_minus_chr1.4.1	stmg_minus_chr1.4
chr1	9501107	9501548	-	stmg_minus_chr1.5.1	stmg_minus_chr1.5
chr1	9503221	9503464	-	stmg_minus_chr1.5.1	stmg_minus_chr1.5
chr1	11857464	11857671	-	stmg_minus_chr1.6.1	stmg_minus_chr1.6
chr1	11858214	11858469	-	stmg_minus_chr1.6.1	stmg_minus_chr1.6
chr1	11858702	11858928	-	stmg_minus_chr1.6.1	stmg_minus_chr1.6
chr1	14348955	14349378	-	stmg_minus_chr1.7.1	stmg_minus_chr1.7
chr1	14350869	14351025	-	stmg_minus_chr1.7.1	stmg_minus_chr1.7
chr1	14390686	14390751	-	stmg_minus_chr1.7.1	stmg_minus_chr1.7
chr1	14391459	14391575	-	stmg_minus_chr1.7.1	stmg_minus_chr1.7
chr1	19282558	19282892	-	stmg_minus_chr1.8.1	stmg_minus_chr1.8
chr1	19283996	19284125	-	stmg_minus_chr1.8.1	stmg_minus_chr1.8
chr1	19284686	19284785	-	stmg_minus_chr1.8.1	stmg_minus_chr1.8
chr1	19285018	19285114	-	stmg_minus_chr1.8.1	stmg_minus_chr1.8
chr1	19285888	19285992	-	stmg_minus_chr1.8.1	stmg_minus_chr1.8
chr1	19286185	19286372	-	stmg_minus_chr1.8.1	stmg_minus_chr1.8
chr1	19288496	19289246	-	stmg_minus_chr1.8.1	stmg_minus_chr1.8
chr1	20499448	20501419	-	stmg_minus_chr1.9.1	stmg_minus_chr1.9
chr1	20502069	20502189	-	stmg_minus_chr1.9.1	stmg_minus_chr1.9
chr1	20503222	20503309	-	stmg_minus_chr1.9.1	stmg_minus_chr1.9
chr1	20507905	20508159	-	stmg_minus_chr1.9.1	stmg_minus_chr1.9
chr1	23549139	23549443	-	stmg_minus_chr1.10.1	stmg_minus_chr1.10
chr1	23550765	23550892	-	stmg_minus_chr1.10.1	stmg_minus_chr1.10
chr1	23845077	23845855	-	stmg_minus_chr1.11.1	stmg_minus_chr1.11
chr1	23846074	23846173	-	stmg_minus_chr1.11.1	stmg_minus_chr1.11
chr1	23848649	23848839	-	stmg_minus_chr1.11.1	stmg_minus_chr1.11
chr1	23854360	23854560	-	stmg_minus_chr1.11.1	stmg_minus_chr1.11
chr1	23859798	23859903	-	stmg_minus_chr1.11.1	stmg_minus_chr1.11
chr1	23863134	23863271	-	stmg_minus_chr1.11.1	stmg_minus_chr1.11
chr1	23865491	23865625	-	stmg_minus_chr1.11.1	stmg_minus_chr1.11
chr1	23867898	23868294	-	stmg_minus_chr1.11.1	stmg_minus_chr1.11
chr1	24119771	24121737	-	stmg_minus_chr1.12.1	stmg_minus_chr1.12
chr1	24123302	24123423	-	stmg_minus_chr1.12.1	stmg_minus_chr1.12
chr1	24128141	24128279	-	stmg_minus_chr1.12.1	stmg_minus_chr1.12
chr1	24134211	24134386	-	stmg_minus_chr1.12.1	stmg_minus_chr1.12
chr1	24137131	24137309	-	stmg_minus_chr1.12.1	stmg_minus_chr1.12
chr1	24138582	24138714	-	stmg_minus_chr1.12.1	stmg_minus_chr1.12
chr1	24143040	24143121	-	stmg_minus_chr1.12.1	stmg_minus_chr1.12
chr1	27005020	27006957	-	stmg_minus_chr1.13.1	stmg_minus_chr1.13
chr1	27012407	27012829	-	stmg_minus_chr1.13.1	stmg_minus_chr1.13
chr1	27660401	27660722	-	stmg_minus_chr1.14.1	stmg_minus_chr1.14
chr1	27662677	27662692	-	stmg_minus_chr1.14.1	stmg_minus_chr1.14
chr1	31571585	31571742	-	stmg_minus_chr1.15.1	stmg_minus_chr1.15
chr1	31572035	31572303	-	stmg_minus_chr1.15.1	stmg_minus_chr1.15
chr1	31575410	31575572	-	stmg_minus_chr1.15.1	stmg_minus_chr1.15
chr1	32333832	32335097	-	stmg_minus_chr1.16.1	stmg_minus_chr1.16
chr1	32335947	32336285	-	stmg_minus_chr1.16.1	stmg_minus_chr1.16
chr1	32717743	32717968	-	stmg_minus_chr1.17.1	stmg_minus_chr1.17
chr1	32725078	32725237	-	stmg_minus_chr1.17.1	stmg_minus_chr1.17
chr1	37454879	37455912	-	stmg_minus_chr1.18.1	stmg_minus_chr1.18
chr1	37456367	37456459	-	stmg_minus_chr1.18.1	stmg_minus_chr1.18
chr1	37474144	37474411	-	stmg_minus_chr1.18.1	stmg_minus_chr1.18
chr1	39659164	39659486	-	stmg_minus_chr1.19.1	stmg_minus_chr1.19
chr1	39661079	39661263	-	stmg_minus_chr1.19.1	stmg_minus_chr1.19
chr1	39663312	39663434	-	stmg_minus_chr1.19.1	stmg_minus_chr1.19
chr1	39665521	39665650	-	stmg_minus_chr1.19.1	stmg_minus_chr1.19
chr1	39666069	39666236	-	stmg_minus_chr1.19.1	stmg_minus_chr1.19
chr1	39671904	39672008	-	stmg_minus_chr1.19.1	stmg_minus_chr1.19
chr1	43354684	43355006	-	stmg_minus_chr1.20.1	stmg_minus_chr1.20
chr1	43357803	43357900	-	stmg_minus_chr1.20.1	stmg_minus_chr1.20
chr1	43358419	43358658	-	stmg_minus_chr1.20.1	stmg_minus_chr1.20
chr1	44783585	44784483	-	stmg_minus_chr1.21.1	stmg_minus_chr1.21
chr1	44784629	44784783	-	stmg_minus_chr1.21.1	stmg_minus_chr1.21
chr1	44784905	44784985	-	stmg_minus_chr1.21.1	stmg_minus_chr1.21
chr1	44785108	44785305	-	stmg_minus_chr1.21.1	stmg_minus_chr1.21
chr1	44785599	44785676	-	stmg_minus_chr1.21.1	stmg_minus_chr1.21
chr1	44786074	44786228	-	stmg_minus_chr1.21.1	stmg_minus_chr1.21
chr1	44786463	44786677	-	stmg_minus_chr1.21.1	stmg_minus_chr1.21
chr1	47380930	47381143	-	stmg_minus_chr1.22.1	stmg_minus_chr1.22
chr1	47386248	47386356	-	stmg_minus_chr1.22.1	stmg_minus_chr1.22
chr1	47408320	47408477	-	stmg_minus_chr1.22.1	stmg_minus_chr1.22
chr1	53366675	53367277	-	stmg_minus_chr1.23.1	stmg_minus_chr1.23
chr1	53368006	53368212	-	stmg_minus_chr1.23.1	stmg_minus_chr1.23
chr1	54756898	54759190	-	stmg_minus_chr1.24.1	stmg_minus_chr1.24
chr1	54764461	54764514	-	stmg_minus_chr1.24.1	stmg_minus_chr1.24
chr1	65066651	65066802	-	stmg_minus_chr1.25.1	stmg_minus_chr1.25
chr1	65067604	65067721	-	stmg_minus_chr1.25.1	stmg_minus_chr1.25
chr1	66999333	67004448	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67009085	67009167	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67020369	67020447	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67021535	67021602	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67042236	67042328	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67047265	67047367	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67049782	67049850	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67050433	67050504	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67052012	67052079	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67052771	67052857	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67052956	67052989	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	67053811	67054099	-	stmg_minus_chr1.26.1	stmg_minus_chr1.26
chr1	82215220	82215772	-	stmg_minus_chr1.27.1	stmg_minus_chr1.27
chr1	82261016	82261084	-	stmg_minus_chr1.27.1	stmg_minus_chr1.27
chr1	90860573	90861364	-	stmg_minus_chr1.28.1	stmg_minus_chr1.28
chr1	90862857	90862920	-	stmg_minus_chr1.28.1	stmg_minus_chr1.28
chr1	97933479	97934169	-	stmg_minus_chr1.29.1	stmg_minus_chr1.29
chr1	97941573	97941742	-	stmg_minus_chr1.29.1	stmg_minus_chr1.29
chr1	100265068	100265247	-	stmg_minus_chr1.30.1	stmg_minus_chr1.30
chr1	100265815	100265917	-	stmg_minus_chr1.30.1	stmg_minus_chr1.30
chr1	100266004	100266115	-	stmg_minus_chr1.30.1	stmg_minus_chr1.30
chr1	101235683	101235881	-	stmg_minus_chr1.31.1	stmg_minus_chr1.31
chr1	101236325	101236528	-	stmg_minus_chr1.31.1	stmg_minus_chr1.31
chr1	114704469	114708050	-	stmg_minus_chr1.32.1	stmg_minus_chr1.32
chr1	114708154	114708192	-	stmg_minus_chr1.32.1	stmg_minus_chr1.32
chr1	114708531	114708654	-	stmg_minus_chr1.32.1	stmg_minus_chr1.32
chr1	114709569	114709728	-	stmg_minus_chr1.32.1	stmg_minus_chr1.32
chr1	114713800	114713978	-	stmg_minus_chr1.32.1	stmg_minus_chr1.32
chr1	114716050	114716177	-	stmg_minus_chr1.32.1	stmg_minus_chr1.32
chr1	114716658	114716792	-	stmg_minus_chr1.32.1	stmg_minus_chr1.32
chr1	116493016	116494906	-	stmg_minus_chr1.33.1	stmg_minus_chr1.33
chr1	116498804	116499212	-	stmg_minus_chr1.34.1	stmg_minus_chr1.34
